max_samples,pair_count,in_range_1_count,in_range_1_rate,nz_pair_count,nz_in_range_1_count,nz_in_range_1_rate,nz_mean_ratio_mean,nz_mean_ratio_std,alpha_hat_theory,alpha_mean,alpha_median,alpha_q10,alpha_q90,alpha_trimmed10,alpha_winsor10,delta_alpha_mean,delta_alpha_trimmed10,delta_alpha_winsor10
40000,111,96,0.8648648648648649,64,57,0.890625,-0.00272798303125,0.03830655654404354,0.0131579,0.02903074915625,0.030582150000000002,-0.003536133,0.06045521000000001,0.029147825115384614,0.02905518509375,0.01587284915625,0.015989925115384614,0.01589728509375
100000,111,78,0.7027027027027027,64,48,0.75,-0.0030919630312499996,0.030386207265799794,0.0131579,0.02628996865625,0.02482375,0.007221871,0.04637335000000001,0.026486793653846152,0.02656455203125,0.013132068656249999,0.013328893653846152,0.01340665203125
200000,111,78,0.7027027027027027,64,54,0.84375,-0.0036761151562499997,0.03098642738941317,0.0131579,0.02896199859375,0.0277693,0.016783700000000002,0.0430474,0.02908641346153846,0.0292400484375,0.01580409859375,0.01592851346153846,0.0160821484375
500000,111,70,0.6306306306306306,64,56,0.875,-0.0024149421875,0.029536978462248016,0.0131579,0.0286348453125,0.028842899999999998,0.01913907,0.036844270000000005,0.02875339615384615,0.028594434375,0.0154769453125,0.015595496153846151,0.015436534375000002
