sample,target_poly,target_coeff,s00,sij,y00,w00,z00,yij,wij,zij,ratio
3654,1,1,1,0,1,-1,0,-17,10,-7,0
3655,1,1,1,0,-13,4,-9,31,-1,30,-3.33333
3656,1,1,1,0,1,0,1,-1,2,1,1
3657,1,1,1,0,-6,-1,-7,-34,-1,-35,5
3658,1,1,1,0,-10,-5,-15,6,17,23,-1.53333
3659,1,1,1,0,15,-2,13,6,-7,-1,-0.0769231
3660,1,1,1,0,19,-1,18,8,8,16,0.888889
3661,1,1,1,0,22,-1,21,4,8,12,0.571429
3662,1,1,1,0,6,0,6,2,-11,-9,-1.5
3663,1,1,1,0,-11,-1,-12,7,-18,-11,0.916667
3664,1,1,1,0,32,3,35,-12,2,-10,-0.285714
3665,1,1,1,0,-1,-2,-3,3,1,4,-1.33333
3666,1,1,1,0,11,0,11,-4,-9,-13,-1.18182
3667,1,1,1,0,5,4,9,-10,-2,-12,-1.33333
3668,1,1,1,0,6,-2,4,-3,6,3,0.75
3669,1,1,1,0,-13,0,-13,0,-6,-6,0.461538
3670,1,1,1,0,-4,1,-3,15,1,16,-5.33333
3671,1,1,1,0,29,-2,27,3,3,6,0.222222
3672,1,1,1,0,4,1,5,6,-5,1,0.2
3673,1,1,1,0,6,2,8,12,11,23,2.875
3674,1,1,1,0,-7,2,-5,-14,-9,-23,4.6
3675,1,1,1,0,9,1,10,-1,-4,-5,-0.5
3676,1,1,1,0,-11,-3,-14,-9,-10,-19,1.35714
3677,1,1,1,0,-20,1,-19,7,-5,2,-0.105263
3678,1,1,1,0,6,-3,3,10,-2,8,2.66667
3679,1,1,1,0,-17,1,-16,11,-3,8,-0.5
3680,1,1,1,0,-20,1,-19,1,-7,-6,0.315789
3681,1,1,1,0,19,0,19,21,7,28,1.47368
3682,1,1,1,0,7,0,7,28,1,29,4.14286
3683,1,1,1,0,-4,-2,-6,-11,-11,-22,3.66667
3684,1,1,1,0,-18,-1,-19,10,-1,9,-0.473684
3685,1,1,1,0,15,-2,13,9,4,13,1
3686,1,1,1,0,10,-1,9,18,2,20,2.22222
3687,1,1,1,0,14,4,18,-9,-6,-15,-0.833333
3688,1,1,1,0,8,0,8,-1,2,1,0.125
3689,1,1,1,0,-6,-1,-7,-8,-2,-10,1.42857
3690,1,1,1,0,-18,2,-16,-18,-2,-20,1.25
3691,1,1,1,0,5,4,9,13,4,17,1.88889
3692,1,1,1,0,20,1,21,-11,-6,-17,-0.809524
3693,1,1,1,0,-15,0,-15,-12,-1,-13,0.866667
3694,1,1,1,0,21,-2,19,4,-7,-3,-0.157895
3695,1,1,1,0,-10,2,-8,7,19,26,-3.25
3696,1,1,1,0,33,-2,31,-9,12,3,0.0967742
3697,1,1,1,0,-6,-2,-8,0,-2,-2,0.25
3698,1,1,1,0,13,1,14,-21,0,-21,-1.5
3699,1,1,1,0,-13,-2,-15,-9,1,-8,0.533333
3700,1,1,1,0,-14,1,-13,31,9,40,-3.07692
3701,1,1,1,0,-5,3,-2,0,7,7,-3.5
3702,1,1,1,0,-6,-2,-8,-4,-5,-9,1.125
3703,1,1,1,0,31,1,32,-4,1,-3,-0.09375
3704,1,1,1,0,-35,1,-34,-5,2,-3,0.0882353
3705,1,1,1,0,23,1,24,1,2,3,0.125
3706,1,1,1,0,7,0,7,-10,10,0,0
3707,1,1,1,0,8,-1,7,-1,-13,-14,-2
3708,1,1,1,0,9,-2,7,12,3,15,2.14286
3709,1,1,1,0,2,-2,0,-1,-7,-8,0
3710,1,1,1,0,-6,-1,-7,-24,-5,-29,4.14286
3711,1,1,1,0,-16,1,-15,7,0,7,-0.466667
3712,1,1,1,0,2,-1,1,-5,6,1,1
3713,1,1,1,0,14,0,14,-1,10,9,0.642857
3714,1,1,1,0,32,3,35,7,6,13,0.371429
3715,1,1,1,0,-5,2,-3,25,1,26,-8.66667
3716,1,1,1,0,-6,1,-5,11,-5,6,-1.2
3717,1,1,1,0,-16,2,-14,-5,5,0,-0
3718,1,1,1,0,-10,1,-9,5,5,10,-1.11111
3719,1,1,1,0,4,-2,2,-6,-8,-14,-7
3720,1,1,1,0,-5,3,-2,-11,-2,-13,6.5
3721,1,1,1,0,21,0,21,-3,-1,-4,-0.190476
3722,1,1,1,0,-15,-5,-20,6,-4,2,-0.1
3723,1,1,1,0,19,1,20,-7,-12,-19,-0.95
3724,1,1,1,0,2,1,3,-14,4,-10,-3.33333
3725,1,1,1,0,0,0,0,-13,-24,-37,0
3726,1,1,1,0,19,-2,17,-10,1,-9,-0.529412
3727,1,1,1,0,9,-2,7,4,6,10,1.42857
3728,1,1,1,0,13,1,14,14,6,20,1.42857
3729,1,1,1,0,15,-3,12,22,-5,17,1.41667
3730,1,1,1,0,-5,-1,-6,-2,3,1,-0.166667
3731,1,1,1,0,6,1,7,-7,13,6,0.857143
3732,1,1,1,0,-18,0,-18,27,0,27,-1.5
3733,1,1,1,0,3,-3,0,-9,2,-7,0
3734,1,1,1,0,0,0,0,-23,0,-23,0
3735,1,1,1,0,-18,2,-16,8,-11,-3,0.1875
3736,1,1,1,0,-18,-1,-19,9,-7,2,-0.105263
3737,1,1,1,0,-6,2,-4,-7,1,-6,1.5
3738,1,1,1,0,21,-1,20,19,-2,17,0.85
3739,1,1,1,0,19,3,22,-21,-1,-22,-1
3740,1,1,1,0,-6,-1,-7,-3,-1,-4,0.571429
3741,1,1,1,0,3,0,3,-6,6,0,0
3742,1,1,1,0,4,1,5,-3,4,1,0.2
3743,1,1,1,0,0,2,2,4,-6,-2,-1
3744,1,1,1,0,-19,-2,-21,26,6,32,-1.52381
3745,1,1,1,0,3,-3,0,-3,-1,-4,0
3746,1,1,1,0,-13,0,-13,-3,-7,-10,0.769231
3747,1,1,1,0,3,0,3,1,-3,-2,-0.666667
3748,1,1,1,0,17,-1,16,-9,3,-6,-0.375
3749,1,1,1,0,-3,3,0,5,9,14,0
3750,1,1,1,0,12,-1,11,-21,-10,-31,-2.81818
3751,1,1,1,0,-13,-1,-14,5,-12,-7,0.5
3752,1,1,1,0,-20,-1,-21,8,1,9,-0.428571
3753,1,1,1,0,-1,-2,-3,-17,2,-15,5
3754,1,1,1,0,2,-1,1,0,0,0,0
3755,1,1,1,0,2,-3,-1,-10,-4,-14,14
3756,1,1,1,0,18,-4,14,17,-3,14,1
3757,1,1,1,0,-5,-2,-7,1,4,5,-0.714286
3758,1,1,1,0,6,-1,5,-20,-1,-21,-4.2
3759,1,1,1,0,3,1,4,-13,0,-13,-3.25
3760,1,1,1,0,7,0,7,2,5,7,1
3761,1,1,1,0,10,-3,7,-11,1,-10,-1.42857
3762,1,1,1,0,-18,3,-15,-23,4,-19,1.26667
3763,1,1,1,0,-27,1,-26,-19,-3,-22,0.846154
3764,1,1,1,0,17,-4,13,-3,2,-1,-0.0769231
3765,1,1,1,0,2,0,2,-10,3,-7,-3.5
3766,1,1,1,0,0,1,1,19,5,24,24
3767,1,1,1,0,-4,0,-4,-8,-10,-18,4.5
3768,1,1,1,0,25,0,25,-23,3,-20,-0.8
3769,1,1,1,0,6,-5,1,-5,-14,-19,-19
3770,1,1,1,0,10,-2,8,-5,-13,-18,-2.25
3771,1,1,1,0,-8,-3,-11,-11,0,-11,1
3772,1,1,1,0,19,2,21,32,-1,31,1.47619
3773,1,1,1,0,9,2,11,-4,4,0,0
3774,1,1,1,0,-13,-1,-14,5,4,9,-0.642857
3775,1,1,1,0,-12,1,-11,27,3,30,-2.72727
3776,1,1,1,0,-5,0,-5,3,3,6,-1.2
3777,1,1,1,0,18,0,18,25,1,26,1.44444
3778,1,1,1,0,19,1,20,-3,-2,-5,-0.25
3779,1,1,1,0,-14,-3,-17,6,4,10,-0.588235
3780,1,1,1,0,25,-1,24,-11,-3,-14,-0.583333
3781,1,1,1,0,-4,-2,-6,20,-5,15,-2.5
3782,1,1,1,0,-17,-1,-18,5,7,12,-0.666667
3783,1,1,1,0,-12,1,-11,42,-5,37,-3.36364
3784,1,1,1,0,28,1,29,4,-1,3,0.103448
3785,1,1,1,0,-20,0,-20,23,6,29,-1.45
3786,1,1,1,0,13,1,14,-4,-2,-6,-0.428571
3787,1,1,1,0,10,1,11,5,-5,0,0
3788,1,1,1,0,-22,3,-19,3,1,4,-0.210526
3789,1,1,1,0,24,-4,20,0,-5,-5,-0.25
3790,1,1,1,0,-17,-1,-18,-9,-5,-14,0.777778
3791,1,1,1,0,-10,0,-10,11,2,13,-1.3
3792,1,1,1,0,-9,-2,-11,10,-3,7,-0.636364
3793,1,1,1,0,17,-2,15,-11,-3,-14,-0.933333
3794,1,1,1,0,20,1,21,-34,-4,-38,-1.80952
3795,1,1,1,0,19,0,19,18,3,21,1.10526
3796,1,1,1,0,18,-1,17,13,1,14,0.823529
3797,1,1,1,0,-19,-1,-20,-22,10,-12,0.6
3798,1,1,1,0,-13,0,-13,-1,-3,-4,0.307692
3799,1,1,1,0,-41,0,-41,1,1,2,-0.0487805
3800,1,1,1,0,-23,4,-19,-22,9,-13,0.684211
3801,1,1,1,0,-9,-3,-12,-11,5,-6,0.5
3802,1,1,1,0,-14,2,-12,6,7,13,-1.08333
3803,1,1,1,0,-17,1,-16,1,1,2,-0.125
3804,1,1,1,0,-18,2,-16,-21,-1,-22,1.375
3805,1,1,1,0,0,2,2,-16,-12,-28,-14
3806,1,1,1,0,19,0,19,26,-7,19,1
3807,1,1,1,0,-11,-2,-13,15,-4,11,-0.846154
3808,1,1,1,0,-18,-2,-20,15,3,18,-0.9
3809,1,1,1,0,8,-5,3,-15,-6,-21,-7
3810,1,1,1,0,29,0,29,6,-2,4,0.137931
3811,1,1,1,0,-3,-1,-4,2,0,2,-0.5
3812,1,1,1,0,10,0,10,1,1,2,0.2
3813,1,1,1,0,-11,4,-7,3,9,12,-1.71429
3814,1,1,1,0,10,1,11,11,1,12,1.09091
3815,1,1,1,0,2,1,3,-17,-2,-19,-6.33333
3816,1,1,1,0,9,-3,6,-8,7,-1,-0.166667
3817,1,1,1,0,-16,0,-16,3,-11,-8,0.5
3818,1,1,1,0,-16,0,-16,-2,-8,-10,0.625
3819,1,1,1,0,-21,1,-20,-1,8,7,-0.35
3820,1,1,1,0,-7,0,-7,-31,7,-24,3.42857
3821,1,1,1,0,24,1,25,5,3,8,0.32
3822,1,1,1,0,20,4,24,-23,0,-23,-0.958333
3823,1,1,1,0,14,2,16,28,1,29,1.8125
3824,1,1,1,0,-1,1,0,1,-12,-11,0
3825,1,1,1,0,-11,-1,-12,-29,-7,-36,3
3826,1,1,1,0,-14,1,-13,-9,-10,-19,1.46154
3827,1,1,1,0,15,0,15,33,-16,17,1.13333
3828,1,1,1,0,15,-1,14,13,13,26,1.85714
3829,1,1,1,0,-14,1,-13,-8,4,-4,0.307692
3830,1,1,1,0,3,0,3,18,-13,5,1.66667
3831,1,1,1,0,14,1,15,-27,-3,-30,-2
3832,1,1,1,0,20,3,23,4,3,7,0.304348
3833,1,1,1,0,13,1,14,-7,-3,-10,-0.714286
3834,1,1,1,0,7,-3,4,-5,-12,-17,-4.25
3835,1,1,1,0,8,2,10,-7,-3,-10,-1
3836,1,1,1,0,-29,3,-26,5,16,21,-0.807692
3837,1,1,1,0,2,3,5,24,13,37,7.4
3838,1,1,1,0,23,1,24,18,6,24,1
3839,1,1,1,0,-7,-3,-10,-20,-11,-31,3.1
3840,1,1,1,0,-8,-2,-10,-9,-2,-11,1.1
3841,1,1,1,0,18,-3,15,16,8,24,1.6
3842,1,1,1,0,-17,0,-17,-5,0,-5,0.294118
3843,1,1,1,0,20,-4,16,-15,4,-11,-0.6875
3844,1,1,1,0,26,-2,24,8,2,10,0.416667
3845,1,1,1,0,-13,0,-13,-6,-7,-13,1
3846,1,1,1,0,13,0,13,-2,-2,-4,-0.307692
3847,1,1,1,0,-13,0,-13,-15,-7,-22,1.69231
3848,1,1,1,0,-4,2,-2,-4,-1,-5,2.5
3849,1,1,1,0,17,-1,16,4,-7,-3,-0.1875
3850,1,1,1,0,-13,3,-10,-4,-3,-7,0.7
3851,1,1,1,0,4,-1,3,-28,-7,-35,-11.6667
3852,1,1,1,0,-9,3,-6,13,-1,12,-2
3853,1,1,1,0,3,2,5,-11,1,-10,-2
3854,1,1,1,0,8,2,10,3,7,10,1
3855,1,1,1,0,-13,-2,-15,-3,4,1,-0.0666667
3856,1,1,1,0,9,-2,7,15,0,15,2.14286
3857,1,1,1,0,-10,2,-8,8,-4,4,-0.5
3858,1,1,1,0,15,1,16,-4,-5,-9,-0.5625
3859,1,1,1,0,1,2,3,6,-11,-5,-1.66667
3860,1,1,1,0,-5,2,-3,-6,9,3,-1
3861,1,1,1,0,10,4,14,24,15,39,2.78571
3862,1,1,1,0,36,0,36,-20,-1,-21,-0.583333
3863,1,1,1,0,-29,1,-28,-14,-8,-22,0.785714
3864,1,1,1,0,2,3,5,-7,-13,-20,-4
3865,1,1,1,0,-19,-1,-20,20,5,25,-1.25
3866,1,1,1,0,-38,-3,-41,-16,-4,-20,0.487805
3867,1,1,1,0,-17,1,-16,-15,-9,-24,1.5
3868,1,1,1,0,23,-6,17,-9,-11,-20,-1.17647
3869,1,1,1,0,16,-3,13,-8,3,-5,-0.384615
3870,1,1,1,0,-10,1,-9,-8,-6,-14,1.55556
3871,1,1,1,0,-17,2,-15,-29,-2,-31,2.06667
3872,1,1,1,0,-9,1,-8,-12,0,-12,1.5
3873,1,1,1,0,8,-3,5,-1,-5,-6,-1.2
3874,1,1,1,0,-15,-3,-18,-16,2,-14,0.777778
3875,1,1,1,0,-3,-2,-5,34,-9,25,-5
3876,1,1,1,0,-19,0,-19,2,-2,0,-0
3877,1,1,1,0,-13,3,-10,18,1,19,-1.9
3878,1,1,1,0,7,1,8,41,-2,39,4.875
3879,1,1,1,0,-16,0,-16,6,-4,2,-0.125
3880,1,1,1,0,-6,-4,-10,14,9,23,-2.3
3881,1,1,1,0,12,-2,10,2,-3,-1,-0.1
3882,1,1,1,0,-2,-1,-3,-17,5,-12,4
3883,1,1,1,0,6,2,8,4,0,4,0.5
3884,1,1,1,0,30,-1,29,-13,1,-12,-0.413793
3885,1,1,1,0,13,3,16,-16,2,-14,-0.875
3886,1,1,1,0,-13,-1,-14,12,-3,9,-0.642857
3887,1,1,1,0,24,1,25,8,2,10,0.4
3888,1,1,1,0,-24,-1,-25,18,-1,17,-0.68
3889,1,1,1,0,11,-1,10,-23,-5,-28,-2.8
3890,1,1,1,0,14,-1,13,14,11,25,1.92308
3891,1,1,1,0,5,2,7,-15,6,-9,-1.28571
3892,1,1,1,0,10,0,10,5,-13,-8,-0.8
3893,1,1,1,0,25,3,28,13,6,19,0.678571
3894,1,1,1,0,-15,-1,-16,15,-5,10,-0.625
3895,1,1,1,0,3,1,4,-10,-8,-18,-4.5
3896,1,1,1,0,15,1,16,-22,4,-18,-1.125
3897,1,1,1,0,-7,-2,-9,-10,-3,-13,1.44444
3898,1,1,1,0,-2,-1,-3,-12,2,-10,3.33333
3899,1,1,1,0,-18,0,-18,-8,0,-8,0.444444
3900,1,1,1,0,15,-3,12,-34,10,-24,-2
3901,1,1,1,0,33,2,35,2,-2,0,0
3902,1,1,1,0,7,0,7,-7,-3,-10,-1.42857
3903,1,1,1,0,-15,2,-13,-24,-5,-29,2.23077
3904,1,1,1,0,-5,0,-5,-16,-1,-17,3.4
3905,1,1,1,0,22,0,22,-12,13,1,0.0454545
3906,1,1,1,0,11,-2,9,-1,4,3,0.333333
3907,1,1,1,0,6,-2,4,-11,0,-11,-2.75
3908,1,1,1,0,0,-3,-3,22,-4,18,-6
3909,1,1,1,0,-30,-2,-32,-19,-3,-22,0.6875
3910,1,1,1,0,-20,2,-18,-17,-5,-22,1.22222
3911,1,1,1,0,6,0,6,-4,5,1,0.166667
3912,1,1,1,0,-3,-2,-5,11,0,11,-2.2
3913,1,1,1,0,3,-2,1,2,-4,-2,-2
3914,1,1,1,0,-3,-3,-6,-8,-2,-10,1.66667
3915,1,1,1,0,-1,4,3,-10,8,-2,-0.666667
3916,1,1,1,0,6,0,6,-5,-5,-10,-1.66667
3917,1,1,1,0,-9,0,-9,-12,3,-9,1
3918,1,1,1,0,-12,-2,-14,17,-2,15,-1.07143
3919,1,1,1,0,1,3,4,24,2,26,6.5
3920,1,1,1,0,17,-1,16,-1,9,8,0.5
3921,1,1,1,0,4,1,5,7,-6,1,0.2
3922,1,1,1,0,-13,3,-10,-17,-2,-19,1.9
3923,1,1,1,0,7,-1,6,-5,5,0,0
3924,1,1,1,0,26,1,27,-15,0,-15,-0.555556
3925,1,1,1,0,20,0,20,8,-8,0,0
3926,1,1,1,0,-39,0,-39,-12,-4,-16,0.410256
3927,1,1,1,0,-33,0,-33,5,1,6,-0.181818
3928,1,1,1,0,-18,2,-16,16,-2,14,-0.875
3929,1,1,1,0,5,0,5,29,8,37,7.4
3930,1,1,1,0,7,-2,5,20,-4,16,3.2
3931,1,1,1,0,-4,2,-2,-11,-3,-14,7
3932,1,1,1,0,-15,3,-12,-6,-3,-9,0.75
3933,1,1,1,0,-4,0,-4,-9,-1,-10,2.5
3934,1,1,1,0,6,-3,3,-17,-5,-22,-7.33333
3935,1,1,1,0,6,-2,4,-13,-1,-14,-3.5
3936,1,1,1,0,-15,0,-15,-18,4,-14,0.933333
3937,1,1,1,0,-12,2,-10,6,3,9,-0.9
3938,1,1,1,0,11,-1,10,-4,-11,-15,-1.5
3939,1,1,1,0,8,0,8,3,-2,1,0.125
3940,1,1,1,0,2,3,5,30,8,38,7.6
3941,1,1,1,0,10,-2,8,-22,-4,-26,-3.25
3942,1,1,1,0,-5,-1,-6,5,7,12,-2
3943,1,1,1,0,-25,0,-25,-20,-6,-26,1.04
3944,1,1,1,0,-6,5,-1,29,-3,26,-26
3945,1,1,1,0,-15,0,-15,29,-2,27,-1.8
3946,1,1,1,0,0,0,0,-11,-5,-16,0
3947,1,1,1,0,0,2,2,20,-1,19,9.5
3948,1,1,1,0,34,3,37,-1,-9,-10,-0.27027
3949,1,1,1,0,-6,2,-4,-37,5,-32,8
3950,1,1,1,0,8,-2,6,-3,-3,-6,-1
3951,1,1,1,0,-5,2,-3,-7,-1,-8,2.66667
3952,1,1,1,0,33,-2,31,-22,2,-20,-0.645161
3953,1,1,1,0,-9,-2,-11,-32,-4,-36,3.27273
3954,1,1,1,0,11,1,12,-5,-4,-9,-0.75
3955,1,1,1,0,11,4,15,1,-4,-3,-0.2
3956,1,1,1,0,-3,1,-2,18,1,19,-9.5
3957,1,1,1,0,-6,-2,-8,4,8,12,-1.5
3958,1,1,1,0,40,1,41,6,2,8,0.195122
3959,1,1,1,0,-24,-1,-25,11,-3,8,-0.32
3960,1,1,1,0,37,-1,36,-10,-3,-13,-0.361111
3961,1,1,1,0,-4,-1,-5,-30,0,-30,6
3962,1,1,1,0,-6,0,-6,-24,0,-24,4
3963,1,1,1,0,-18,1,-17,3,0,3,-0.176471
3964,1,1,1,0,4,-1,3,-26,3,-23,-7.66667
3965,1,1,1,0,3,1,4,-15,3,-12,-3
3966,1,1,1,0,-18,1,-17,-20,-6,-26,1.52941
3967,1,1,1,0,21,1,22,5,12,17,0.772727
3968,1,1,1,0,18,-3,15,-3,-6,-9,-0.6
3969,1,1,1,0,2,-1,1,1,-3,-2,-2
3970,1,1,1,0,-7,0,-7,0,4,4,-0.571429
3971,1,1,1,0,-5,2,-3,2,-9,-7,2.33333
3972,1,1,1,0,8,0,8,-9,-2,-11,-1.375
3973,1,1,1,0,12,2,14,-2,-2,-4,-0.285714
3974,1,1,1,0,-2,1,-1,1,-4,-3,3
3975,1,1,1,0,19,-3,16,3,3,6,0.375
3976,1,1,1,0,17,-3,14,4,-20,-16,-1.14286
3977,1,1,1,0,4,3,7,11,11,22,3.14286
3978,1,1,1,0,-12,-2,-14,1,1,2,-0.142857
3979,1,1,1,0,-35,2,-33,24,8,32,-0.969697
3980,1,1,1,0,3,2,5,7,2,9,1.8
3981,1,1,1,0,-4,3,-1,-10,-1,-11,11
3982,1,1,1,0,-26,0,-26,16,6,22,-0.846154
3983,1,1,1,0,32,1,33,18,-6,12,0.363636
3984,1,1,1,0,29,1,30,32,-5,27,0.9
3985,1,1,1,0,-7,-2,-9,-5,5,0,-0
3986,1,1,1,0,4,2,6,1,-8,-7,-1.16667
3987,1,1,1,0,0,0,0,23,0,23,0
3988,1,1,1,0,5,1,6,-19,-4,-23,-3.83333
3989,1,1,1,0,19,1,20,15,-8,7,0.35
3990,1,1,1,0,11,1,12,13,2,15,1.25
3991,1,1,1,0,-9,0,-9,1,2,3,-0.333333
3992,1,1,1,0,1,1,2,11,1,12,6
3993,1,1,1,0,-8,4,-4,8,-7,1,-0.25
3994,1,1,1,0,-9,1,-8,7,4,11,-1.375
3995,1,1,1,0,8,1,9,33,2,35,3.88889
3996,1,1,1,0,28,4,32,-8,6,-2,-0.0625
3997,1,1,1,0,-14,2,-12,10,4,14,-1.16667
3998,1,1,1,0,10,-1,9,-5,4,-1,-0.111111
3999,1,1,1,0,6,-1,5,9,-2,7,1.4
4000,1,1,1,0,10,-1,9,12,1,13,1.44444
4001,1,1,1,0,17,1,18,-4,3,-1,-0.0555556
4002,1,1,1,0,7,0,7,-6,6,0,0
4003,1,1,1,0,-8,-3,-11,2,-11,-9,0.818182
4004,1,1,1,0,-6,-1,-7,-15,-13,-28,4
4005,1,1,1,0,-4,1,-3,22,2,24,-8
4006,1,1,1,0,4,-1,3,15,2,17,5.66667
4007,1,1,1,0,-18,2,-16,2,-7,-5,0.3125
4008,1,1,1,0,0,5,5,-5,-7,-12,-2.4
4009,1,1,1,0,29,-1,28,-34,9,-25,-0.892857
4010,1,1,1,0,3,-1,2,-11,-5,-16,-8
4011,1,1,1,0,10,2,12,-28,2,-26,-2.16667
4012,1,1,1,0,-7,0,-7,-10,-3,-13,1.85714
4013,1,1,1,0,-11,1,-10,10,0,10,-1
4014,1,1,1,0,-7,-3,-10,8,0,8,-0.8
4015,1,1,1,0,-9,0,-9,-9,5,-4,0.444444
4016,1,1,1,0,-4,-1,-5,-7,2,-5,1
4017,1,1,1,0,-1,-1,-2,-8,-5,-13,6.5
4018,1,1,1,0,-1,-1,-2,-35,-1,-36,18
4019,1,1,1,0,-8,0,-8,1,-1,0,-0
4020,1,1,1,0,1,-2,-1,-1,-2,-3,3
4021,1,1,1,0,-13,-2,-15,18,11,29,-1.93333
4022,1,1,1,0,-9,1,-8,-10,2,-8,1
4023,1,1,1,0,-4,0,-4,-2,-7,-9,2.25
4024,1,1,1,0,7,2,9,11,-19,-8,-0.888889
4025,1,1,1,0,-22,2,-20,26,-8,18,-0.9
4026,1,1,1,0,10,-1,9,-13,-2,-15,-1.66667
4027,1,1,1,0,-11,2,-9,21,-11,10,-1.11111
4028,1,1,1,0,-6,-2,-8,8,-7,1,-0.125
4029,1,1,1,0,-6,-4,-10,5,5,10,-1
4030,1,1,1,0,10,3,13,38,2,40,3.07692
4031,1,1,1,0,2,4,6,-17,10,-7,-1.16667
4032,1,1,1,0,-1,0,-1,-15,-14,-29,29
4033,1,1,1,0,19,0,19,40,6,46,2.42105
4034,1,1,1,0,-3,-2,-5,0,1,1,-0.2
4035,1,1,1,0,-7,-1,-8,13,-1,12,-1.5
4036,1,1,1,0,10,1,11,-3,2,-1,-0.0909091
4037,1,1,1,0,-7,-3,-10,16,-7,9,-0.9
4038,1,1,1,0,-14,-1,-15,7,13,20,-1.33333
4039,1,1,1,0,15,1,16,0,3,3,0.1875
4040,1,1,1,0,23,-1,22,-8,-19,-27,-1.22727
4041,1,1,1,0,-1,4,3,-4,2,-2,-0.666667
4042,1,1,1,0,-3,0,-3,-5,-2,-7,2.33333
4043,1,1,1,0,15,1,16,13,-2,11,0.6875
4044,1,1,1,0,19,-4,15,-12,6,-6,-0.4
4045,1,1,1,0,-13,1,-12,26,-1,25,-2.08333
4046,1,1,1,0,8,0,8,-10,8,-2,-0.25
4047,1,1,1,0,10,1,11,-6,-4,-10,-0.909091
4048,1,1,1,0,5,0,5,12,0,12,2.4
4049,1,1,1,0,3,0,3,-3,2,-1,-0.333333
4050,1,1,1,0,-2,-2,-4,18,-1,17,-4.25
4051,1,1,1,0,22,-3,19,13,7,20,1.05263
4052,1,1,1,0,1,1,2,0,-2,-2,-1
4053,1,1,1,0,-16,0,-16,7,2,9,-0.5625
4054,1,1,1,0,17,-4,13,1,-4,-3,-0.230769
4055,1,1,1,0,21,0,21,5,-3,2,0.0952381
4056,1,1,1,0,0,0,0,-13,4,-9,0
4057,1,1,1,0,15,1,16,4,5,9,0.5625
4058,1,1,1,0,-1,-2,-3,-40,4,-36,12
4059,1,1,1,0,-2,1,-1,-11,-7,-18,18
4060,1,1,1,0,-9,3,-6,-22,10,-12,2
4061,1,1,1,0,-13,0,-13,6,9,15,-1.15385
4062,1,1,1,0,0,0,0,-6,4,-2,0
4063,1,1,1,0,6,-5,1,6,9,15,15
4064,1,1,1,0,1,-5,-4,8,-2,6,-1.5
4065,1,1,1,0,-18,1,-17,17,-5,12,-0.705882
4066,1,1,1,0,7,0,7,-15,-6,-21,-3
4067,1,1,1,0,12,1,13,18,7,25,1.92308
4068,1,1,1,0,5,-5,0,22,-4,18,0
4069,1,1,1,0,13,0,13,0,3,3,0.230769
4070,1,1,1,0,18,-1,17,20,-1,19,1.11765
4071,1,1,1,0,-18,0,-18,13,-10,3,-0.166667
4072,1,1,1,0,38,2,40,17,-2,15,0.375
4073,1,1,1,0,24,2,26,-26,-4,-30,-1.15385
4074,1,1,1,0,4,3,7,4,-10,-6,-0.857143
4075,1,1,1,0,9,3,12,-3,1,-2,-0.166667
4076,1,1,1,0,-1,1,0,-1,-13,-14,0
4077,1,1,1,0,8,1,9,20,-4,16,1.77778
4078,1,1,1,0,-12,1,-11,-13,0,-13,1.18182
4079,1,1,1,0,15,-1,14,-10,5,-5,-0.357143
4080,1,1,1,0,6,0,6,7,-4,3,0.5
4081,1,1,1,0,4,-3,1,-17,3,-14,-14
4082,1,1,1,0,4,1,5,2,4,6,1.2
4083,1,1,1,0,18,2,20,-18,-9,-27,-1.35
4084,1,1,1,0,1,2,3,1,10,11,3.66667
4085,1,1,1,0,-11,-1,-12,-3,2,-1,0.0833333
4086,1,1,1,0,-13,-3,-16,0,6,6,-0.375
4087,1,1,1,0,25,2,27,-19,-3,-22,-0.814815
4088,1,1,1,0,-3,2,-1,9,-4,5,-5
4089,1,1,1,0,0,0,0,24,3,27,0
4090,1,1,1,0,-6,2,-4,10,-3,7,-1.75
4091,1,1,1,0,11,2,13,1,0,1,0.0769231
4092,1,1,1,0,-18,2,-16,23,4,27,-1.6875
4093,1,1,1,0,-11,1,-10,3,0,3,-0.3
4094,1,1,1,0,-11,2,-9,-16,5,-11,1.22222
4095,1,1,1,0,2,-3,-1,-13,-4,-17,17
4096,1,1,1,0,-9,-1,-10,-12,4,-8,0.8
4097,1,1,1,0,-9,0,-9,-12,3,-9,1
4098,1,1,1,0,-10,0,-10,13,-4,9,-0.9
4099,1,1,1,0,12,2,14,13,2,15,1.07143
4100,1,1,1,0,-19,0,-19,-18,-3,-21,1.10526
4101,1,1,1,0,-10,2,-8,-2,-3,-5,0.625
4102,1,1,1,0,-9,3,-6,0,-7,-7,1.16667
4103,1,1,1,0,10,-1,9,12,6,18,2
4104,1,1,1,0,29,2,31,4,-3,1,0.0322581
4105,1,1,1,0,6,1,7,23,7,30,4.28571
4106,1,1,1,0,24,-1,23,6,-4,2,0.0869565
4107,1,1,1,0,-24,0,-24,-2,1,-1,0.0416667
4108,1,1,1,0,17,1,18,1,7,8,0.444444
4109,1,1,1,0,-7,-2,-9,-9,-10,-19,2.11111
4110,1,1,1,0,3,-1,2,-19,0,-19,-9.5
4111,1,1,1,0,-14,2,-12,7,8,15,-1.25
4112,1,1,1,0,-10,-2,-12,-5,3,-2,0.166667
