sample,target_poly,target_coeff,s00,sij,y00,w00,z00,yij,wij,zij,ratio
1176,1,1,1,0,-26,-4,-30,-20,4,-16,0.533333
1177,1,1,1,0,21,1,22,19,4,23,1.04545
1178,1,1,1,0,4,4,8,-29,6,-23,-2.875
1179,1,1,1,0,-3,0,-3,14,15,29,-9.66667
1180,1,1,1,0,20,0,20,-21,-3,-24,-1.2
1181,1,1,1,0,11,3,14,-19,-8,-27,-1.92857
1182,1,1,1,0,-6,1,-5,-15,6,-9,1.8
1183,1,1,1,0,17,-2,15,8,6,14,0.933333
1184,1,1,1,0,-11,0,-11,1,5,6,-0.545455
1185,1,1,1,0,20,-1,19,-13,5,-8,-0.421053
1186,1,1,1,0,11,4,15,-12,12,0,0
1187,1,1,1,0,30,1,31,18,-7,11,0.354839
1188,1,1,1,0,11,0,11,8,1,9,0.818182
1189,1,1,1,0,21,-3,18,-24,2,-22,-1.22222
1190,1,1,1,0,-7,-1,-8,-11,-1,-12,1.5
1191,1,1,1,0,-4,-1,-5,-7,13,6,-1.2
1192,1,1,1,0,-11,4,-7,-36,2,-34,4.85714
1193,1,1,1,0,-17,3,-14,10,-13,-3,0.214286
1194,1,1,1,0,-6,-2,-8,22,14,36,-4.5
1195,1,1,1,0,-18,1,-17,-35,6,-29,1.70588
1196,1,1,1,0,-3,-2,-5,14,10,24,-4.8
1197,1,1,1,0,5,0,5,-19,4,-15,-3
1198,1,1,1,0,-17,4,-13,5,9,14,-1.07692
1199,1,1,1,0,-6,-3,-9,9,-6,3,-0.333333
1200,1,1,1,0,-25,1,-24,12,-6,6,-0.25
1201,1,1,1,0,-12,2,-10,-7,-11,-18,1.8
1202,1,1,1,0,0,-2,-2,12,-1,11,-5.5
1203,1,1,1,0,25,4,29,-27,-1,-28,-0.965517
1204,1,1,1,0,-1,4,3,2,6,8,2.66667
1205,1,1,1,0,-24,1,-23,-4,-12,-16,0.695652
1206,1,1,1,0,13,2,15,21,3,24,1.6
1207,1,1,1,0,-5,1,-4,20,-8,12,-3
1208,1,1,1,0,-8,0,-8,-2,-2,-4,0.5
1209,1,1,1,0,4,1,5,-6,5,-1,-0.2
1210,1,1,1,0,-12,1,-11,7,-7,0,-0
1211,1,1,1,0,16,-1,15,3,-11,-8,-0.533333
1212,1,1,1,0,-6,0,-6,26,11,37,-6.16667
1213,1,1,1,0,8,0,8,-1,-3,-4,-0.5
1214,1,1,1,0,5,1,6,-14,-5,-19,-3.16667
1215,1,1,1,0,-11,0,-11,12,7,19,-1.72727
1216,1,1,1,0,18,-1,17,1,2,3,0.176471
1217,1,1,1,0,2,-5,-3,23,-13,10,-3.33333
1218,1,1,1,0,-1,-2,-3,6,3,9,-3
1219,1,1,1,0,-13,5,-8,-8,-5,-13,1.625
1220,1,1,1,0,-9,-1,-10,2,-8,-6,0.6
1221,1,1,1,0,22,-2,20,15,3,18,0.9
1222,1,1,1,0,13,-1,12,-16,-1,-17,-1.41667
1223,1,1,1,0,12,-1,11,-7,3,-4,-0.363636
1224,1,1,1,0,-19,-1,-20,10,4,14,-0.7
1225,1,1,1,0,7,2,9,-9,-12,-21,-2.33333
1226,1,1,1,0,-9,-1,-10,17,12,29,-2.9
1227,1,1,1,0,-4,-2,-6,-9,6,-3,0.5
1228,1,1,1,0,1,0,1,-10,-14,-24,-24
